fullId,category,wnsynset,wnlemmas,up,front,unit,aligned.dims,isContainerLike,surfaceVolume,solidVolume,supportSurfaceArea,weight,staticFrictionForce,name,tags
wss.1004f30be305f33d28a1548e344f0e2e,WallArt,n3496279,"hanging,wall hanging","0\,0\,1","0\,-1\,0",0.015031645922063155,"111.97104\,84.16881\,0.0",true,0.008226,0.008226,0.009795,9.966830091589442,228.1449920977114,globe blue spruce,*
wss.100f39dce7690f59efb94709f30ce0d2,"Chair,Recliner",n4069540,"recliner,reclining chair,lounger","0\,0\,1","0\,-1\,0",0.012947172227877498,"111.34567\,100.547745\,96.13275",false,0.050328,0.527234,0.997641,59.6130895104624,593.4774694190751,couch,carpet recliner
wss.101354f9d8dede686f7b08d9de913afe,"Speaker,_Attributes",n3696785,"loudspeaker,speaker,speaker unit,loudspeaker system,speaker system",,,0.013619756018661576,"43.43313\,60.591843\,32.17259",false,0.005768,0.082294,0.138125,,,sound speaker,"audio,audio speaker,music,sound,sound speaker,speaker"
wss.1018f01d42ae7fad52249d8432f6087e,Sword,n4380981,"sword,blade,brand,steel",,,0.010424472209791723,"78.23693\,4.360932\,18.058533",,,,,,,sword,"blade,sword,weapon"
wss.102273fdf8d1b90041fbc1e2da054acb,"Lamp,DeskLamp",n4387620,table lamp,"0\,0\,1","1\,0\,0",0.001791299820325371,"18.514877\,71.531975\,48.62335",true,0.001424,0.00213,0.026234,3.0611285928598395,30.315880714764795,anglepoise lamp,"anglepoise,bulb,desk clamp,floor standing,lamp,light,table base,vr build"
wss.1022fe7dd03f6a4d4d5ad9f13ac9f4e7,"Chair,OfficeChair",n4380791,swivel chair,"0\,0\,1","0\,1\,0",0.017984304673039908,"60.366123\,98.00925\,66.79712",false,0.014595,0.04759,0.007446,17.287653819051002,172.1070510684192,office chair,"fauteuil de bureau,office chair"
wss.1028b32dc1873c2afe26a3ac360dbd4,"Chair,OfficeSideChair,rankChairs",n3005231,chair,"0\,0\,1","0\,-1\,0",0.0361153361552668,"78.41001\,117.685616\,77.54468",false,0.019132,0.049732,0.013525,22.6616918716056,225.60822891682056,visavis stackable chair,chair office designer citterio
wss.1029fd5d71a06ea32ea98d69e91ba870,ChestOfDrawers,n3018908,"chest of drawers,chest,bureau,dresser",,,0.01963105322972662,"70.55165\,148.1222\,41.225212",true,,,,,,thos  moser tall chest with drawers,*
wss.102a6b7809f4e51813842bc8ef6fe18,"Computer,Desktop",n3184677,desktop computer,,,0.025252379617478636,"23.257397\,46.2361\,60.778683",false,0.004545,0.058527,0.126284,,,alienware area    computer case  pc,*
wss.102ea1d8d5fe24e8485059ffe7a2f9c7,,,,,,,"608.33\,266.065\,770.89",,,,,,,jacuzzi,"agua,decoracion,decoration,furniture,jacizzi,mueble,piscina,relax,rubicundo,water"
wss.1033ee86cc8bac4390962e4fb7072b86,"Chair,rankChairs",n2741540,armchair,"0\,0\,1","-1\,0\,0",0.024691261772050645,"66.430275\,98.00357\,109.57538",false,0.018864,0.032783,0.031439,22.3442481426912,222.4479212987091,the armchair cit eacute,"armchair,chair,chaise,french,furniture,nancy,prouve,tterrible,vitra"
wss.104221f8a5b6676aa1dda33d5a7c8c38,"Table,AccentTable,RoundTable",n3067971,"coffee table,cocktail table","0\,0\,1","0.7071067690849304\,-0.7071067690849304\,0",0.035441114891971603,"61.418324\,99.757866\,61.683174",false,0.007341,0.011108,0.0427,6.158520830034181,73.19097744560956,eileen gray coffee table,"bauhaus,chair,chairs,chaise lounge,darrell smith,end table,furniture,modern,sofa,table,texture,textures"
wss.10433e5bd8fa2a337b00c7b93209c459,,n3963609,planter,,,,"72.75322\,51.1175\,72.75322",,,,,,,concrete round planter    in,"cylinder,details,flower,furnishing,landscape architecture,planter,pot,round,sidewalk,site,street"
wss.1043b403dd2e79128081f4adb71040,Plant,n12640957,"rose,rosebush",,,0.0023101191578797403,"272.1563\,74.93356\,189.14935",,,,,,,rose,"boy,flower,girl,landscape,love,nature,petal,plant,red,romance,rose,single,z,zman"
wss.1046b3d5a381a8902e5ae31c6c631a39,"VideoGameController,_StanfordSceneDBModels,_SceneGalleryModels",n3282682,electronic device,,,0.0012903931301109126,"17.014687\,11.401642\,7.0823097",,,,,,,dual shock analog controller,"analog,controller,dual,play,playstation,shock,sony,station"
wss.10477652cbfcbc0eeda994bbf9145c8e,PersonStanding,n5224944,person,,,0.01824168139087406,"49.344296\,140.40805\,4.48552E-14",,,,,,,rose dewitt bukater boarding dress,"man,rose dewitt bukater,titanic"
wss.1049af17ad48aaeb6d41c42f7ade8c8,"_StanfordSceneDBModels,_SceneGalleryModels,PictureFrame,_OIMwhitelist",n3938003,picture frame,"0\,0\,1","-1\,0\,0",0.038713560774630444,"22.720854\,24.441763\,11.376484",false,2.42E-4,5.35E-4,0.006064,,,digital picture frame,"android,digital,display,eight,frame,high,inch,mountain,photo,picture,resolution,screen,touch"
wss.10507ae95f984daccd8f3fe9ca2145e1,Couch,n4263630,"sofa,couch,lounge","0\,0\,1","1\,0\,0",0.026491137001994843,"207.3289\,91.36555\,96.69265",false,0.133604,0.562832,0.034632,211.6490657444408,2009.5955861158245,modern futon,"couch,furniture,futon,modern"
wss.1061c1b4af7fd99777f4e9e0a7e4c2,Candle,n2951508,"candle,taper,wax light",,,4.5496646660302456E-4,"25.530308\,42.36807\,19.044258",false,4.8E-4,9.32E-4,0.012194,0.432,0.42336,candle,candle
wss.106676e68e8031e51085ede6a3c1fc8b,,n3997420,"pot,flowerpot",,,,"20.000011\,10.500005\,20.000011",,,,,,,pot,"follow me,geometry,pot"
wss.106d2b545cadbbba005531e2f53712,Fan,n3324991,fan,,,3.4171887352583356E-4,"98.98366\,87.69989\,219.39786",,,,,,,vornado desk fan,"electric,fan,vornado"
wss.106f8b5d2f2c777535c291801eaf5463,"_StanfordSceneDBModels,DrinkingUtensil,Cup,_OIMwhitelist",n3152175,cup,,,7.052486574939595E-5,"9.631384\,10.936644\,9.779686",true,4.39625E-5,7.51719E-4,0.00674194,,,cup with cup holder,"cup,cup holder,glass,stationary"
wss.1074bdcb3c2032fe0f3f8b6e1796773,"ChestOfDrawers,Dresser",n3018908,"chest of drawers,chest,bureau,dresser",,,0.029192961382027257,"176.43524\,84.659584\,58.38592",true,0.123211,0.873711,0.851955,73.92660000000001,449.1780216000001,scandanavian dresser,"dresser,scandanavian"
wss.107637b6bdf8129d4904d89e9169817b,Couch,n3698800,"love seat,loveseat,tete-a-tete,vis-a-vis",,,0.022625356231784688,"201.62453\,98.47731\,101.64667",false,0.214795,1.214746,0.008436,340.2679641071911,3230.8245555503468,ikea   kramfors loveseat,"architecture,bench,chair,chaise,chesterfield,couch,design,furniture,ikea,interior,kramfors,love,loveseat,seat,seating"
